layout,seed,baseline_total_return,baseline_sparse_return,baseline_deliveries,custom_total_return,custom_sparse_return,custom_deliveries,baseline_dir,custom_dir,delta_total_return,delta_sparse_return,delta_deliveries,status
random0,0,400.0,220.0,11.0,441.3999999999998,220.0,11.0,/workspace/PantheonRL/results/selfplay/ppo/random0/seed_0/steps_500000__partner_offset_1000,/workspace/PantheonRL/results/selfplay/ppo/random0/seed_0/steps_500000__partner_offset_1000__custom_dense__sg_0.99__ss_0.2__pw_2.0,41.39999999999981,0.0,0.0,ok
random0,1,49.0,20.0,1.0,482.5999999999995,240.0,12.0,/workspace/PantheonRL/results/selfplay/ppo/random0/seed_1/steps_500000__partner_offset_1000,/workspace/PantheonRL/results/selfplay/ppo/random0/seed_1/steps_500000__partner_offset_1000__custom_dense__sg_0.99__ss_0.2__pw_2.0,433.5999999999995,220.0,11.0,ok
random0,2,423.0,240.0,12.0,361.79999999999995,180.0,9.0,/workspace/PantheonRL/results/selfplay/ppo/random0/seed_2/steps_500000__partner_offset_1000,/workspace/PantheonRL/results/selfplay/ppo/random0/seed_2/steps_500000__partner_offset_1000__custom_dense__sg_0.99__ss_0.2__pw_2.0,-61.200000000000045,-60.0,-3.0,collapse
random1,0,52.0,20.0,1.0,278.6000000000002,140.0,7.0,/workspace/PantheonRL/results/selfplay/ppo/random1/seed_0/steps_500000__partner_offset_1000,/workspace/PantheonRL/results/selfplay/ppo/random1/seed_0/steps_500000__partner_offset_1000__custom_dense__sg_0.99__ss_0.2__pw_2.0,226.6000000000002,120.0,6.0,ok
random1,1,379.0,200.0,10.0,95.79999999999994,40.0,2.0,/workspace/PantheonRL/results/selfplay/ppo/random1/seed_1/steps_500000__partner_offset_1000,/workspace/PantheonRL/results/selfplay/ppo/random1/seed_1/steps_500000__partner_offset_1000__custom_dense__sg_0.99__ss_0.2__pw_2.0,-283.20000000000005,-160.0,-8.0,collapse
random1,2,382.0,200.0,10.0,403.9999999999997,200.0,10.0,/workspace/PantheonRL/results/selfplay/ppo/random1/seed_2/steps_500000__partner_offset_1000,/workspace/PantheonRL/results/selfplay/ppo/random1/seed_2/steps_500000__partner_offset_1000__custom_dense__sg_0.99__ss_0.2__pw_2.0,21.999999999999716,0.0,0.0,ok
random3,0,9.0,0.0,0.0,25.800000000000015,0.0,0.0,/workspace/PantheonRL/results/selfplay/ppo/random3/seed_0/steps_500000__partner_offset_1000,/workspace/PantheonRL/results/selfplay/ppo/random3/seed_0/steps_500000__partner_offset_1000__custom_dense__sg_0.99__ss_0.2__pw_2.0,16.800000000000015,0.0,0.0,ok
random3,1,26.0,0.0,0.0,0.3999999999999999,0.0,0.0,/workspace/PantheonRL/results/selfplay/ppo/random3/seed_1/steps_500000__partner_offset_1000,/workspace/PantheonRL/results/selfplay/ppo/random3/seed_1/steps_500000__partner_offset_1000__custom_dense__sg_0.99__ss_0.2__pw_2.0,-25.6,0.0,0.0,ok
random3,2,21.0,0.0,0.0,45.80000000000001,0.0,0.0,/workspace/PantheonRL/results/selfplay/ppo/random3/seed_2/steps_500000__partner_offset_1000,/workspace/PantheonRL/results/selfplay/ppo/random3/seed_2/steps_500000__partner_offset_1000__custom_dense__sg_0.99__ss_0.2__pw_2.0,24.80000000000001,0.0,0.0,ok
simple,0,386.0,220.0,11.0,448.8,220.0,11.0,/workspace/PantheonRL/results/selfplay/ppo/simple/seed_0/steps_500000__partner_offset_1000,/workspace/PantheonRL/results/selfplay/ppo/simple/seed_0/steps_500000__partner_offset_1000__custom_dense__sg_0.99__ss_0.2__pw_2.0,62.80000000000001,0.0,0.0,ok
simple,1,419.0,220.0,11.0,409.8,200.0,10.0,/workspace/PantheonRL/results/selfplay/ppo/simple/seed_1/steps_500000__partner_offset_1000,/workspace/PantheonRL/results/selfplay/ppo/simple/seed_1/steps_500000__partner_offset_1000__custom_dense__sg_0.99__ss_0.2__pw_2.0,-9.199999999999989,-20.0,-1.0,borderline_or_worse
simple,2,46.0,20.0,1.0,481.99999999999994,240.0,12.0,/workspace/PantheonRL/results/selfplay/ppo/simple/seed_2/steps_500000__partner_offset_1000,/workspace/PantheonRL/results/selfplay/ppo/simple/seed_2/steps_500000__partner_offset_1000__custom_dense__sg_0.99__ss_0.2__pw_2.0,435.99999999999994,220.0,11.0,ok
unident_s,0,490.0,260.0,13.0,58.60000000000003,20.0,1.0,/workspace/PantheonRL/results/selfplay/ppo/unident_s/seed_0/steps_500000__partner_offset_1000,/workspace/PantheonRL/results/selfplay/ppo/unident_s/seed_0/steps_500000__partner_offset_1000__custom_dense__sg_0.99__ss_0.2__pw_2.0,-431.4,-240.0,-12.0,collapse
unident_s,1,9.0,0.0,0.0,895.599999999999,460.0,23.0,/workspace/PantheonRL/results/selfplay/ppo/unident_s/seed_1/steps_500000__partner_offset_1000,/workspace/PantheonRL/results/selfplay/ppo/unident_s/seed_1/steps_500000__partner_offset_1000__custom_dense__sg_0.99__ss_0.2__pw_2.0,886.599999999999,460.0,23.0,ok
unident_s,2,12.0,0.0,0.0,481.99999999999943,240.0,12.0,/workspace/PantheonRL/results/selfplay/ppo/unident_s/seed_2/steps_500000__partner_offset_1000,/workspace/PantheonRL/results/selfplay/ppo/unident_s/seed_2/steps_500000__partner_offset_1000__custom_dense__sg_0.99__ss_0.2__pw_2.0,469.99999999999943,240.0,12.0,ok
